Year,Month,Month_Number,Students,YTD_Enrolments,YTD_Commencements,Monthly_Enrolments,Monthly_Commencements
2019,Jan,1,441898,486034,44136,486034,44136
2019,Dec,12,563990,952392,510494,572826,8836
2020,Jan,1,483764,529256,45492,529256,45492
2020,Dec,12,500375,879874,396110,504502,4127
2021,Jan,1,432976,461532,28556,461532,28556
2021,Dec,12,408740,715792,282816,411813,3073
2022,Jan,1,353647,382756,29109,382756,29109
2022,Dec,12,465130,742073,388426,473341,8211
2023,Jan,1,413872,462949,49077,462949,49077
2023,Dec,12,585161,968961,555089,593616,8455
2024,Jan,1,523197,580377,57180,580377,57180
2024,Dec,12,642689,1088491,565294,656789,14100
2025,Jan,1,578942,618394,39452,618394,39452
2025,Dec,12,601193,1056653,477711,611030,9837
2026,Jan,1,527613,565601,37988,565601,37988
