Nationality,Region,Students,YTD_Enrolments,YTD_Commencements,Monthly_Enrolments,Monthly_Commencements
China,North-East Asia,123136,129164,6028,129164,6028
India,Southern and Central Asia,92105,97056,4951,97056,4951
Nepal,Southern and Central Asia,50929,53024,2095,53024,2095
Vietnam,South-East Asia,23303,25234,1931,25234,1931
Bangladesh,Southern and Central Asia,21449,22395,946,22395,946
Philippines,South-East Asia,17534,19001,1467,19001,1467
Indonesia,South-East Asia,17519,18801,1282,18801,1282
Colombia,Americas,15774,17403,1629,17403,1629
Pakistan,Southern and Central Asia,14509,15528,1019,15528,1019
Sri Lanka,Southern and Central Asia,14258,14855,597,14855,597
Brazil,Americas,11831,13301,1470,13301,1470
Thailand,South-East Asia,11477,12743,1266,12743,1266
Malaysia,South-East Asia,8968,9434,466,9434,466
"Korea, Republic of (South)",North-East Asia,8435,9686,1251,9686,1251
Taiwan,North-East Asia,7484,8339,855,8339,855
Bhutan,Southern and Central Asia,7408,7745,337,7745,337
Hong Kong SAR,North-East Asia,7053,7623,570,7623,570
Kenya,Sub-Saharan Africa,5982,6360,378,6360,378
Japan,North-East Asia,5171,6099,928,6099,928
Singapore,South-East Asia,4533,4694,161,4694,161
Mongolia,North-East Asia,3756,4050,294,4050,294
Chile,Americas,3067,3459,392,3459,392
Cambodia,South-East Asia,2978,3271,293,3271,293
Saudi Arabia,North Africa and the Middle East,2700,2929,229,2929,229
Fiji,Oceania and Antarctica,2602,2832,230,2832,230
Turkiye,North Africa and the Middle East,2560,2859,299,2859,299
United Kingdom,North-West Europe,2401,2669,268,2669,268
Iran,North Africa and the Middle East,2400,2642,242,2642,242
Canada,Americas,2395,2763,368,2763,368
United States of America,Americas,2386,3822,1436,3822,1436
Spain,Southern and Eastern Europe,2059,2440,381,2440,381
Mexico,Americas,2011,2260,249,2260,249
Italy,Southern and Eastern Europe,1907,2259,352,2259,352
France,North-West Europe,1898,2203,305,2203,305
Argentina,Americas,1808,2036,228,2036,228
Ecuador,Americas,1502,1709,207,1709,207
Peru,Americas,1455,1634,179,1634,179
Germany,North-West Europe,1451,1959,508,1959,508
Nigeria,Sub-Saharan Africa,1221,1299,78,1299,78
Zimbabwe,Sub-Saharan Africa,1186,1238,52,1238,52
Mauritius,Sub-Saharan Africa,1128,1201,73,1201,73
Papua New Guinea,Oceania and Antarctica,1080,1294,214,1294,214
Laos,South-East Asia,705,790,85,790,85
United Arab Emirates,North Africa and the Middle East,627,679,52,679,52
South Africa,Sub-Saharan Africa,611,666,55,666,55
Russian Federation,Southern and Eastern Europe,578,621,43,621,43
Myanmar,South-East Asia,475,484,9,484,9
Norway,North-West Europe,473,552,79,552,79
Egypt,North Africa and the Middle East,468,525,57,525,57
Ireland,North-West Europe,454,527,73,527,73
Kuwait,North Africa and the Middle East,440,471,31,471,31
Ethiopia,Sub-Saharan Africa,436,480,44,480,44
Macau,North-East Asia,353,374,21,374,21
Ghana,Sub-Saharan Africa,343,373,30,373,30
Portugal,Southern and Eastern Europe,334,361,27,361,27
Jordan,North Africa and the Middle East,305,326,21,326,21
Uzbekistan,Southern and Central Asia,297,315,18,315,18
Poland,Southern and Eastern Europe,289,316,27,316,27
Netherlands,North-West Europe,282,313,31,313,31
Sweden,North-West Europe,281,325,44,325,44
Lithuania,Southern and Eastern Europe,252,282,30,282,30
Switzerland,North-West Europe,248,364,116,364,116
Belgium,North-West Europe,235,282,47,282,47
Lebanon,North Africa and the Middle East,207,221,14,221,14
Uganda,Sub-Saharan Africa,200,215,15,215,15
Czech Republic,Southern and Eastern Europe,184,222,38,222,38
Brunei Darussalam,South-East Asia,168,181,13,181,13
Botswana,Sub-Saharan Africa,154,158,4,158,4
Zambia,Sub-Saharan Africa,144,150,6,150,6
Israel,North Africa and the Middle East,138,163,25,163,25
Kazakhstan,Southern and Central Asia,127,135,8,135,8
Maldives,Southern and Central Asia,127,129,2,129,2
Estonia,Southern and Eastern Europe,115,130,15,130,15
Oman,North Africa and the Middle East,115,161,46,161,46
Solomon Islands,Oceania and Antarctica,110,120,10,120,10
Uruguay,Americas,108,123,15,123,15
Slovakia,Southern and Eastern Europe,101,117,16,117,16
North Macedonia,Southern and Eastern Europe,93,96,3,96,3
Greece,Southern and Eastern Europe,92,98,6,98,6
Paraguay,Americas,90,98,8,98,8
Denmark,North-West Europe,84,113,29,113,29
Finland,North-West Europe,83,94,11,94,11
Venezuela,Americas,82,92,10,92,10
Bolivia,Americas,77,85,8,85,8
Tanzania,Sub-Saharan Africa,76,76,0,76,0
Hungary,Southern and Eastern Europe,75,82,7,82,7
Austria,North-West Europe,73,117,44,117,44
Guatemala,Americas,69,74,5,74,5
Tonga,Oceania and Antarctica,66,76,10,76,10
Morocco,North Africa and the Middle East,64,75,11,75,11
Timor-Leste,South-East Asia,62,65,3,65,3
Malawi,Sub-Saharan Africa,57,57,0,57,0
Iraq,North Africa and the Middle East,55,60,5,60,5
Nauru,Oceania and Antarctica,52,72,20,72,20
Romania,Southern and Eastern Europe,52,58,6,58,6
Rwanda,Sub-Saharan Africa,40,44,4,44,4
Ukraine,Southern and Eastern Europe,36,39,3,39,3
Azerbaijan,Southern and Central Asia,34,34,0,34,0
Costa Rica,Americas,30,36,6,36,6
Kyrgyzstan,Southern and Central Asia,30,32,2,32,2
Vanuatu,Oceania and Antarctica,30,37,7,37,7
El Salvador,Americas,29,35,6,35,6
Sudan,North Africa and the Middle East,29,33,4,33,4
Latvia,Southern and Eastern Europe,28,31,3,31,3
Serbia,Southern and Eastern Europe,28,30,2,30,2
Bulgaria,Southern and Eastern Europe,27,28,1,28,1
Samoa,Oceania and Antarctica,25,26,1,26,1
Albania,Southern and Eastern Europe,24,27,3,27,3
Panama,Americas,24,34,10,34,10
Yemen,North Africa and the Middle East,24,24,0,24,0
Slovenia,Southern and Eastern Europe,23,25,2,25,2
Afghanistan,Southern and Central Asia,22,23,1,23,1
Algeria,North Africa and the Middle East,21,24,3,24,3
Mozambique,Sub-Saharan Africa,21,22,1,22,1
Syria,North Africa and the Middle East,21,22,1,22,1
"Congo, Democratic Republic of",Sub-Saharan Africa,20,21,1,21,1
Namibia,Sub-Saharan Africa,19,20,1,20,1
Tunisia,North Africa and the Middle East,18,32,14,32,14
Armenia,Southern and Central Asia,17,20,3,20,3
Cameroon,Sub-Saharan Africa,17,19,2,19,2
Kiribati,Oceania and Antarctica,16,16,0,16,0
Sierra Leone,Sub-Saharan Africa,16,17,1,17,1
Luxembourg,North-West Europe,15,20,5,20,5
Croatia,Southern and Eastern Europe,14,20,6,20,6
Cyprus,Southern and Eastern Europe,14,17,3,17,3
Honduras,Americas,14,14,0,14,0
Jamaica,Americas,14,14,0,14,0
Malta,Southern and Eastern Europe,14,15,1,15,1
Other,Unknown,14,16,2,16,2
Gaza Strip and West Bank,North Africa and the Middle East,13,14,1,14,1
Madagascar,Sub-Saharan Africa,13,13,0,13,0
Seychelles,Sub-Saharan Africa,13,14,1,14,1
Belarus,Southern and Eastern Europe,12,12,0,12,0
Trinidad and Tobago,Americas,11,12,1,12,1
Burundi,Sub-Saharan Africa,10,10,0,10,0
Dominican Republic,Americas,10,13,3,13,3
Liberia,Sub-Saharan Africa,9,12,3,12,3
Kosovo,Southern and Eastern Europe,8,9,1,9,1
Bahrain,North Africa and the Middle East,7,7,0,7,0
Georgia,Southern and Central Asia,7,8,1,8,1
Iceland,North-West Europe,7,7,0,7,0
Lesotho,Sub-Saharan Africa,7,10,3,10,3
Dominica,Americas,6,6,0,6,0
Nicaragua,Americas,6,7,1,7,1
Qatar,North Africa and the Middle East,6,8,2,8,2
St Kitts and Nevis,Americas,6,7,1,7,1
Bosnia and Herzegovina,Southern and Eastern Europe,5,6,1,6,1
Cuba,Americas,5,5,0,5,0
Djibouti,Sub-Saharan Africa,5,5,0,5,0
Swaziland,Sub-Saharan Africa,5,7,2,7,2
Bahamas,Americas,4,6,2,6,2
Eritrea,Sub-Saharan Africa,4,5,1,5,1
Moldova,Southern and Eastern Europe,4,6,2,6,2
South Sudan,North Africa and the Middle East,4,4,0,4,0
United Kingdom (Other),Unknown,4,5,1,5,1
Barbados,Americas,3,3,0,3,0
Libya,North Africa and the Middle East,3,3,0,3,0
Montenegro,Southern and Eastern Europe,3,3,0,3,0
Tajikistan,Southern and Central Asia,3,3,0,3,0
Turkmenistan,Southern and Central Asia,3,3,0,3,0
Tuvalu,Oceania and Antarctica,3,3,0,3,0
Antigua and Barbuda,Americas,2,2,0,2,0
Chad,Sub-Saharan Africa,2,2,0,2,0
Cote d'Ivoire,Sub-Saharan Africa,2,2,0,2,0
Equatorial Guinea,Sub-Saharan Africa,2,2,0,2,0
Gabon,Sub-Saharan Africa,2,2,0,2,0
Gambia,Sub-Saharan Africa,2,2,0,2,0
Grenada,Americas,2,2,0,2,0
Guyana,Americas,2,2,0,2,0
Haiti,Americas,2,2,0,2,0
"Korea, Democratic People's Republic of (North)",North-East Asia,2,2,0,2,0
Monaco,North-West Europe,2,2,0,2,0
Niger,Sub-Saharan Africa,2,2,0,2,0
St Lucia,Americas,2,2,0,2,0
Andorra,Southern and Eastern Europe,1,2,1,2,1
Angola,Sub-Saharan Africa,1,1,0,1,0
Belize,Americas,1,2,1,2,1
Bermuda,Americas,1,1,0,1,0
British Indian Ocean Territory,Sub-Saharan Africa,1,1,0,1,0
Burkina Faso,Sub-Saharan Africa,1,1,0,1,0
"Congo, Republic of",Sub-Saharan Africa,1,1,0,1,0
Guinea-Bissau,Sub-Saharan Africa,1,1,0,1,0
Liechtenstein,North-West Europe,1,4,3,4,3
Mali,Sub-Saharan Africa,1,1,0,1,0
Marshall Islands,Oceania and Antarctica,1,1,0,1,0
"Micronesia, Federated States of",Oceania and Antarctica,1,1,0,1,0
San Marino,Southern and Eastern Europe,1,1,0,1,0
St Helena,Sub-Saharan Africa,1,1,0,1,0
Suriname,Americas,1,1,0,1,0
