Region,Students,YTD_Enrolments,YTD_Commencements,Monthly_Enrolments,Monthly_Commencements
Southern and Central Asia,201325,211305,9980,211305,9980
North-East Asia,155390,165337,9947,165337,9947
South-East Asia,87722,94698,6976,94698,6976
Americas,42830,49065,6235,49065,6235
Sub-Saharan Africa,11756,12511,755,12511,755
North Africa and the Middle East,10225,11282,1057,11282,1057
North-West Europe,7988,9551,1563,9551,1563
Southern and Eastern Europe,6373,7353,980,7353,980
Oceania and Antarctica,3986,4478,492,4478,492
Unknown,18,21,3,21,3
