Year,State,State_Name,Students,YTD_Enrolments,YTD_Commencements,Monthly_Enrolments,Monthly_Commencements
2019,ACT,Australian Capital Territory,10426,10616,190,10616,190
2019,NSW,New South Wales,170821,189509,18688,189509,18688
2019,NT,Northern Territory,1694,1894,200,1894,200
2019,QLD,Queensland,61900,70966,9066,70966,9066
2019,SA,South Australia,20468,22554,2086,22554,2086
2019,TAS,Tasmania,6756,7252,496,7252,496
2019,VIC,Victoria,146440,157455,11015,157455,11015
2019,WA,Western Australia,23393,25788,2395,25788,2395
2020,ACT,Australian Capital Territory,10289,10484,195,10484,195
2020,NSW,New South Wales,185588,203629,18041,203629,18041
2020,NT,Northern Territory,2351,2752,401,2752,401
2020,QLD,Queensland,66902,76218,9316,76218,9316
2020,SA,South Australia,24226,26503,2277,26503,2277
2020,TAS,Tasmania,8830,9525,695,9525,695
2020,VIC,Victoria,159690,171872,12182,171872,12182
2020,WA,Western Australia,25888,28273,2385,28273,2385
2021,ACT,Australian Capital Territory,9890,10140,250,10140,250
2021,NSW,New South Wales,165381,176257,10876,176257,10876
2021,NT,Northern Territory,2669,2963,294,2963,294
2021,QLD,Queensland,58392,63719,5327,63719,5327
2021,SA,South Australia,24264,25951,1687,25951,1687
2021,TAS,Tasmania,7858,8487,629,8487,629
2021,VIC,Victoria,140820,148341,7521,148341,7521
2021,WA,Western Australia,23702,25674,1972,25674,1972
2022,ACT,Australian Capital Territory,9280,9656,376,9656,376
2022,NSW,New South Wales,140178,151622,11444,151622,11444
2022,NT,Northern Territory,2242,2517,275,2517,275
2022,QLD,Queensland,47041,51642,4601,51642,4601
2022,SA,South Australia,20127,21918,1791,21918,1791
2022,TAS,Tasmania,6777,7284,507,7284,507
2022,VIC,Victoria,109037,117009,7972,117009,7972
2022,WA,Western Australia,18965,21108,2143,21108,2143
2023,ACT,Australian Capital Territory,10437,11049,612,11049,612
2023,NSW,New South Wales,166235,184815,18580,184815,18580
2023,NT,Northern Territory,2279,2654,375,2654,375
2023,QLD,Queensland,57639,67162,9523,67162,9523
2023,SA,South Australia,24293,27211,2918,27211,2918
2023,TAS,Tasmania,5407,5931,524,5931,524
2023,VIC,Victoria,122733,134708,11975,134708,11975
2023,WA,Western Australia,24849,29419,4570,29419,4570
2024,ACT,Australian Capital Territory,12160,12712,552,12712,552
2024,NSW,New South Wales,204133,225188,21055,225188,21055
2024,NT,Northern Territory,3385,3590,205,3590,205
2024,QLD,Queensland,70650,81843,11193,81843,11193
2024,SA,South Australia,30031,33716,3685,33716,3685
2024,TAS,Tasmania,4799,5316,517,5316,517
2024,VIC,Victoria,156148,170643,14495,170643,14495
2024,WA,Western Australia,41891,47369,5478,47369,5478
2025,ACT,Australian Capital Territory,12342,12875,533,12875,533
2025,NSW,New South Wales,226703,241039,14336,241039,14336
2025,NT,Northern Territory,3222,3343,121,3343,121
2025,QLD,Queensland,76465,84754,8289,84754,8289
2025,SA,South Australia,31237,34108,2871,34108,2871
2025,TAS,Tasmania,5012,5262,250,5262,250
2025,VIC,Victoria,175453,185713,10260,185713,10260
2025,WA,Western Australia,48508,51300,2792,51300,2792
2026,ACT,Australian Capital Territory,10846,11255,409,11255,409
2026,NSW,New South Wales,208217,222144,13927,222144,13927
2026,NT,Northern Territory,3596,3682,86,3682,86
2026,QLD,Queensland,68901,76592,7691,76592,7691
2026,SA,South Australia,28068,32054,3986,32054,3986
2026,TAS,Tasmania,4427,4735,308,4735,308
2026,VIC,Victoria,160030,168892,8862,168892,8862
2026,WA,Western Australia,43528,46247,2719,46247,2719
