Nationality,Region,Sector,Students,YTD_Enrolments,YTD_Commencements,Monthly_Enrolments,Monthly_Commencements
Philippines,South-East Asia,VET,11936,13157,1221,13157,1221
India,Southern and Central Asia,Higher Education,61357,62691,1334,62691,1334
Indonesia,South-East Asia,VET,6655,7625,970,7625,970
Bangladesh,Southern and Central Asia,VET,2526,2888,362,2888,362
China,North-East Asia,Higher Education,101759,103552,1793,103552,1793
Pakistan,Southern and Central Asia,Higher Education,6649,6850,201,6850,201
India,Southern and Central Asia,VET,30201,33722,3521,33722,3521
Colombia,Americas,VET,12109,13269,1160,13269,1160
Nepal,Southern and Central Asia,VET,9875,10817,942,10817,942
Vietnam,South-East Asia,Higher Education,15212,15584,372,15584,372
China,North-East Asia,VET,8450,9536,1086,9536,1086
Pakistan,Southern and Central Asia,VET,7770,8561,791,8561,791
Bangladesh,Southern and Central Asia,Higher Education,18524,19013,489,19013,489
Nepal,Southern and Central Asia,Higher Education,40347,41302,955,41302,955
Vietnam,South-East Asia,VET,5371,6275,904,6275,904
Indonesia,South-East Asia,Higher Education,10474,10660,186,10660,186
Vietnam,South-East Asia,ELICOS,474,606,132,606,132
Philippines,South-East Asia,Higher Education,5401,5552,151,5552,151
Colombia,Americas,ELICOS,1938,2358,420,2358,420
Vietnam,South-East Asia,Schools,1973,2441,468,2441,468
China,North-East Asia,ELICOS,5571,6680,1109,6680,1109
Sri Lanka,Southern and Central Asia,Higher Education,11281,11461,180,11461,180
Sri Lanka,Southern and Central Asia,VET,2815,3169,354,3169,354
Colombia,Americas,Higher Education,1716,1761,45,1761,45
Bangladesh,Southern and Central Asia,ELICOS,192,226,34,226,34
India,Southern and Central Asia,Schools,185,222,37,222,37
Bangladesh,Southern and Central Asia,Schools,52,63,11,63,11
Indonesia,South-East Asia,Non-award,194,253,59,253,59
Pakistan,Southern and Central Asia,ELICOS,45,58,13,58,13
China,North-East Asia,Schools,4335,5932,1597,5932,1597
Pakistan,Southern and Central Asia,Non-award,31,40,9,40,9
Nepal,Southern and Central Asia,Non-award,104,123,19,123,19
Sri Lanka,Southern and Central Asia,Schools,85,132,47,132,47
Philippines,South-East Asia,Schools,50,81,31,81,31
Vietnam,South-East Asia,Non-award,273,328,55,328,55
Sri Lanka,Southern and Central Asia,ELICOS,48,59,11,59,11
Bangladesh,Southern and Central Asia,Non-award,155,205,50,205,50
Nepal,Southern and Central Asia,Schools,19,24,5,24,5
China,North-East Asia,Non-award,3021,3464,443,3464,443
India,Southern and Central Asia,Non-award,112,129,17,129,17
India,Southern and Central Asia,ELICOS,250,292,42,292,42
Indonesia,South-East Asia,Schools,62,82,20,82,20
Philippines,South-East Asia,ELICOS,111,163,52,163,52
Colombia,Americas,Non-award,5,9,4,9,4
Sri Lanka,Southern and Central Asia,Non-award,29,34,5,34,5
Indonesia,South-East Asia,ELICOS,134,181,47,181,47
Colombia,Americas,Schools,6,6,0,6,0
Pakistan,Southern and Central Asia,Schools,14,19,5,19,5
Philippines,South-East Asia,Non-award,36,48,12,48,12
Nepal,Southern and Central Asia,ELICOS,584,758,174,758,174
