cell_id,col,row,Category,Students,Share,Cell_Count
0,0,9,China,123136,23.34,23
1,1,9,China,123136,23.34,23
2,2,9,China,123136,23.34,23
3,3,9,China,123136,23.34,23
4,4,9,China,123136,23.34,23
5,5,9,China,123136,23.34,23
6,6,9,China,123136,23.34,23
7,7,9,China,123136,23.34,23
8,8,9,China,123136,23.34,23
9,9,9,China,123136,23.34,23
10,0,8,China,123136,23.34,23
11,1,8,China,123136,23.34,23
12,2,8,China,123136,23.34,23
13,3,8,China,123136,23.34,23
14,4,8,China,123136,23.34,23
15,5,8,China,123136,23.34,23
16,6,8,China,123136,23.34,23
17,7,8,China,123136,23.34,23
18,8,8,China,123136,23.34,23
19,9,8,China,123136,23.34,23
20,0,7,China,123136,23.34,23
21,1,7,China,123136,23.34,23
22,2,7,China,123136,23.34,23
23,3,7,India,92105,17.46,18
24,4,7,India,92105,17.46,18
25,5,7,India,92105,17.46,18
26,6,7,India,92105,17.46,18
27,7,7,India,92105,17.46,18
28,8,7,India,92105,17.46,18
29,9,7,India,92105,17.46,18
30,0,6,India,92105,17.46,18
31,1,6,India,92105,17.46,18
32,2,6,India,92105,17.46,18
33,3,6,India,92105,17.46,18
34,4,6,India,92105,17.46,18
35,5,6,India,92105,17.46,18
36,6,6,India,92105,17.46,18
37,7,6,India,92105,17.46,18
38,8,6,India,92105,17.46,18
39,9,6,India,92105,17.46,18
40,0,5,India,92105,17.46,18
41,1,5,Nepal,50929,9.65,10
42,2,5,Nepal,50929,9.65,10
43,3,5,Nepal,50929,9.65,10
44,4,5,Nepal,50929,9.65,10
45,5,5,Nepal,50929,9.65,10
46,6,5,Nepal,50929,9.65,10
47,7,5,Nepal,50929,9.65,10
48,8,5,Nepal,50929,9.65,10
49,9,5,Nepal,50929,9.65,10
50,0,4,Nepal,50929,9.65,10
51,1,4,Vietnam,23303,4.42,4
52,2,4,Vietnam,23303,4.42,4
53,3,4,Vietnam,23303,4.42,4
54,4,4,Vietnam,23303,4.42,4
55,5,4,Bangladesh,21449,4.07,4
56,6,4,Bangladesh,21449,4.07,4
57,7,4,Bangladesh,21449,4.07,4
58,8,4,Bangladesh,21449,4.07,4
59,9,4,Other countries,216691,41.07,41
60,0,3,Other countries,216691,41.07,41
61,1,3,Other countries,216691,41.07,41
62,2,3,Other countries,216691,41.07,41
63,3,3,Other countries,216691,41.07,41
64,4,3,Other countries,216691,41.07,41
65,5,3,Other countries,216691,41.07,41
66,6,3,Other countries,216691,41.07,41
67,7,3,Other countries,216691,41.07,41
68,8,3,Other countries,216691,41.07,41
69,9,3,Other countries,216691,41.07,41
70,0,2,Other countries,216691,41.07,41
71,1,2,Other countries,216691,41.07,41
72,2,2,Other countries,216691,41.07,41
73,3,2,Other countries,216691,41.07,41
74,4,2,Other countries,216691,41.07,41
75,5,2,Other countries,216691,41.07,41
76,6,2,Other countries,216691,41.07,41
77,7,2,Other countries,216691,41.07,41
78,8,2,Other countries,216691,41.07,41
79,9,2,Other countries,216691,41.07,41
80,0,1,Other countries,216691,41.07,41
81,1,1,Other countries,216691,41.07,41
82,2,1,Other countries,216691,41.07,41
83,3,1,Other countries,216691,41.07,41
84,4,1,Other countries,216691,41.07,41
85,5,1,Other countries,216691,41.07,41
86,6,1,Other countries,216691,41.07,41
87,7,1,Other countries,216691,41.07,41
88,8,1,Other countries,216691,41.07,41
89,9,1,Other countries,216691,41.07,41
90,0,0,Other countries,216691,41.07,41
91,1,0,Other countries,216691,41.07,41
92,2,0,Other countries,216691,41.07,41
93,3,0,Other countries,216691,41.07,41
94,4,0,Other countries,216691,41.07,41
95,5,0,Other countries,216691,41.07,41
96,6,0,Other countries,216691,41.07,41
97,7,0,Other countries,216691,41.07,41
98,8,0,Other countries,216691,41.07,41
99,9,0,Other countries,216691,41.07,41
