Year,Nationality,Students,Rank
2019,China,135546,1
2019,India,65559,2
2019,Nepal,34448,3
2019,Vietnam,15363,5
2019,Bangladesh,4670,18
2019,Philippines,7236,15
2019,Indonesia,11288,8
2019,Colombia,9949,10
2019,Pakistan,9285,11
2019,Sri Lanka,8151,13
2020,China,136975,1
2020,India,84304,2
2020,Nepal,40707,3
2020,Vietnam,16570,4
2020,Bangladesh,4994,18
2020,Philippines,13092,7
2020,Indonesia,12503,8
2020,Colombia,12289,9
2020,Pakistan,10328,12
2020,Sri Lanka,9639,13
2021,China,123026,1
2021,India,80399,2
2021,Nepal,37658,3
2021,Vietnam,15248,4
2021,Bangladesh,4693,16
2021,Philippines,11916,6
2021,Indonesia,11642,7
2021,Colombia,11128,9
2021,Pakistan,10366,10
2021,Sri Lanka,9256,12
2022,China,107887,1
2022,India,58746,2
2022,Nepal,29703,3
2022,Vietnam,12648,4
2022,Bangladesh,4178,16
2022,Philippines,8104,11
2022,Indonesia,10400,5
2022,Colombia,9100,7
2022,Pakistan,8976,8
2022,Sri Lanka,7401,13
2023,China,100792,1
2023,India,67151,2
2023,Nepal,41248,3
2023,Vietnam,15182,5
2023,Bangladesh,5336,16
2023,Philippines,12769,7
2023,Indonesia,11928,9
2023,Colombia,16630,4
2023,Pakistan,11091,10
2023,Sri Lanka,8199,13
2024,China,110354,1
2024,India,92791,2
2024,Nepal,46387,3
2024,Vietnam,23259,5
2024,Bangladesh,9121,14
2024,Philippines,28836,4
2024,Indonesia,15558,9
2024,Colombia,19447,6
2024,Pakistan,17698,7
2024,Sri Lanka,12221,10
2025,China,127775,1
2025,India,103340,2
2025,Nepal,49228,3
2025,Vietnam,26056,5
2025,Bangladesh,14938,10
2025,Philippines,28126,4
2025,Indonesia,17326,8
2025,Colombia,20960,6
2025,Pakistan,19118,7
2025,Sri Lanka,14773,12
2026,China,123136,1
2026,India,92105,2
2026,Nepal,50929,3
2026,Vietnam,23303,4
2026,Bangladesh,21449,5
2026,Philippines,17534,6
2026,Indonesia,17519,7
2026,Colombia,15774,8
2026,Pakistan,14509,9
2026,Sri Lanka,14258,10
