Year,State,State_Name,Students,Share
2019,ACT,Australian Capital Territory,10426,2.359367998949984
2019,NSW,New South Wales,170821,38.65620573073424
2019,NT,Northern Territory,1694,0.3833463831019828
2019,QLD,Queensland,61900,14.00775744628851
2019,SA,South Australia,20468,4.63183811648842
2019,TAS,Tasmania,6756,1.528859601084413
2019,VIC,Victoria,146440,33.13886915079951
2019,WA,Western Australia,23393,5.293755572552942
2026,ACT,Australian Capital Territory,10846,2.0556733818158386
2026,NSW,New South Wales,208217,39.46396316997497
2026,NT,Northern Territory,3596,0.681560158676909
2026,QLD,Queensland,68901,13.059003474137294
2026,SA,South Australia,28068,5.319808268560479
2026,TAS,Tasmania,4427,0.8390619639773849
2026,VIC,Victoria,160030,30.330943323989363
2026,WA,Western Australia,43528,8.249986258867768
