Year,Sector,Students,YTD_Enrolments,YTD_Commencements,Monthly_Enrolments,Monthly_Commencements
2019,ELICOS,39185,50467,11282,50467,11282
2019,Higher Education,263663,267232,3569,267232,3569
2019,Non-award,12487,15455,2968,15455,2968
2019,Schools,13590,19623,6033,19623,6033
2019,VET,112973,133257,20284,133257,20284
2020,ELICOS,38094,49454,11360,49454,11360
2020,Higher Education,282296,286082,3786,286082,3786
2020,Non-award,11910,14875,2965,14875,2965
2020,Schools,12165,18119,5954,18119,5954
2020,VET,139299,160726,21427,160726,21427
2021,ELICOS,13102,17089,3987,17089,3987
2021,Higher Education,258150,260519,2369,260519,2369
2021,Non-award,6275,7415,1140,7415,1140
2021,Schools,9644,11855,2211,11855,2211
2021,VET,145805,164654,18849,164654,18849
2022,ELICOS,5926,8424,2498,8424,2498
2022,Higher Education,213036,216600,3564,216600,3564
2022,Non-award,4300,5333,1033,5333,1033
2022,Schools,5889,7892,2003,7892,2003
2022,VET,124496,144507,20011,144507,20011
2023,ELICOS,38680,50228,11548,50228,11548
2023,Higher Education,227483,232591,5108,232591,5108
2023,Non-award,6226,8416,2190,8416,2190
2023,Schools,6172,10512,4340,10512,4340
2023,VET,135311,161202,25891,161202,25891
2024,ELICOS,47000,59277,12277,59277,12277
2024,Higher Education,284543,290823,6280,290823,6280
2024,Non-award,7989,10948,2959,10948,2959
2024,Schools,8681,14723,6042,14723,6042
2024,VET,174984,204606,29622,204606,29622
2025,ELICOS,32356,38850,6494,38850,6494
2025,Higher Education,331168,336436,5268,336436,5268
2025,Non-award,8496,11538,3042,11538,3042
2025,Schools,10651,15645,4994,15645,4994
2025,VET,196271,215925,19654,215925,19654
2026,ELICOS,21341,26243,4902,26243,4902
2026,Higher Education,339060,347120,8060,347120,8060
2026,Non-award,7388,10182,2794,10182,2794
2026,Schools,10278,14626,4348,14626,4348
2026,VET,149546,167430,17884,167430,17884
